ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
Созидатели;новостройки;2+3Е;;;;6;12-я Красноармейская улица, 30;Московский проспект, 49;набережная реки Фонтанки, 112;1121028;;;;;;;;
Созидатели;новостройки;3+4Е;;;;2;12-я Красноармейская улица, 30;Московский проспект, 49;набережная реки Фонтанки, 112;1121024;;;;;;;;
Leningrad;новостройки;1;;;;23;проспект Тореза, 118;проспект Тореза, 98к1;Северный проспект, 16к1;24882;;;;;;;;
Leningrad;новостройки;2;;;;17;проспект Тореза, 118;проспект Тореза, 98к1;Северный проспект, 16к1;24882;;;;;;;;
Leningrad;новостройки;3+4Е;;;;10;проспект Тореза, 118;проспект Тореза, 98к1;Северный проспект, 16к1;24882;;;;;;;;
Стрижи;новостройки;ст;;4;;41;Железнодорожный проспект, 14к2;проспект Обуховской Обороны, 145;улица Седова, 63;2731965;;;;;;;;
Стрижи;новостройки;1+2Е;;5;;26;Железнодорожный проспект, 14к2;проспект Обуховской Обороны, 145;улица Седова, 63;2731967;;;;;;;;
Стрижи;новостройки;2+3Е;;3;;11;Железнодорожный проспект, 14к2;проспект Обуховской Обороны, 145;улица Седова, 63;66425;;;;;;;;
Панорама Парк Сосновка;новостройки;;;;;36;Светлановский проспект, 11;Нежинская улица, 4;проспект Тореза, 82;766286;;;;;;;;
Svetlana Park ;новостройки;1;;;;9;Манчестерская улица, 4;Гданьская улица, 3;Гданьская улица, 3;70554;;;;;;;;
Svetlana Park ;новостройки;2;;;;4;Манчестерская улица, 4;Гданьская улица, 3;Гданьская улица, 3;70533;;;;;;;;
Сириус;новостройки;;;;;11;Среднерогатская улица, 8к1;Московское шоссе, 16к1;улица Ленсовета, 80;27713;;;;;;;;
Московские ворота II ;новостройки;1;;;;9;Ташкентская улица, 3к3В;Московский проспект, 112;Ташкентская улица, 3к3В;2453578;;;;;;;;
Московские ворота II ;новостройки;2;;;;3;Ташкентская улица, 3к3В;Московский проспект, 112;Ташкентская улица, 3к3В;2453581;;;;;;;;
Московские ворота II ;новостройки;3;;;;11;Ташкентская улица, 3к3В;Московский проспект, 112;Ташкентская улица, 3к3В;2453581;;;;;;;;
Квартал Che;новостройки;1;;;;11;Лиговский проспект, 254;Лиговский проспект, 232;Лиговский проспект, 274;53108;;;;;;;;
Квартал Che;новостройки;2;;;;14;Лиговский проспект, 254;Лиговский проспект, 232;Лиговский проспект, 274;53108;;;;;;;;
Квартал Che;новостройки;3;;;;;Лиговский проспект, 254;Лиговский проспект, 232;Лиговский проспект, 274;53108;;;;;;;;
Q-мир;новостройки;;;;;14;1-й Предпортовый проезд, 15;Варшавская улица, 118;1-й Предпортовый проезд, 15;67413;;;;;;;;
Дефанс ;новостройки;1;;;;14;улица Типанова, 23с1;улица Типанова, 29;проспект Космонавтов, 48к1;74061;;;;;;;;
Дефанс ;новостройки;2;;;;3;улица Типанова, 23с1;улица Типанова, 29;проспект Космонавтов, 48к1;74061;;;;;;;;
Триумф  Парк;новостройки;;;;;38;Среднерогатская улица, 11;Дунайский проспект, 14к1;площадь Победы, 2;22976;;;;;;;;
Terra ;новостройки;1;;;;32;Студенческая улица, 5;Лесной проспект, 61к1;Большой Сампсониевский проспект, 108;70860;;;;;;;;
Terra ;новостройки;2;;2;;9;Студенческая улица, 5;Лесной проспект, 61к1;Большой Сампсониевский проспект, 108;70861;;;;;;;;
Terra ;новостройки;3;;;;6;Студенческая улица, 5;Лесной проспект, 61к1;Большой Сампсониевский проспект, 108;63865;;;;;;;;
ЦДС Черная речка ;новостройки;1+2Е;;2;;19;Торжковская улица, 6;Торжковская улица, 32;Красногвардейский переулок, 23У;58379;;;;;;;;
ЦДС Черная речка ;новостройки;2+3Е;;;;11;Торжковская улица, 6;Торжковская улица, 32;Красногвардейский переулок, 23У;74796;;;;;;;;
ЦДС Черная речка ;новостройки;3+4Е;;;;4;Торжковская улица, 6;Торжковская улица, 32;Красногвардейский переулок, 23У;1465577;;;;;;;;
ЦДС Елизаровский ;новостройки;1+2Е;;2;;11;улица Невзоровой, 9;площадь Александра Невского, 2В;улица Бабушкина, 3;55153;;;;;;;;
ЦДС Елизаровский ;новостройки;2+3Е;;2;;22;улица Невзоровой, 9;площадь Александра Невского, 2В;улица Бабушкина, 3;55155;;;;;;;;
ЦДС Елизаровский ;новостройки;3+4Е;;2;;3;улица Невзоровой, 9;площадь Александра Невского, 2В;улица Бабушкина, 3;55156;;;;;;;;
Автограф в центре;новостройки;1+2Е;;;;;Лиговский проспект, 232;Лиговский проспект, 232;Лиговский проспект, 232;1870893;;;;;;;;
Автограф в центре;новостройки;2+3Е;;;;;Лиговский проспект, 232;Лиговский проспект, 232;Лиговский проспект, 232;1870893;;;;;;;;
Автограф в центре;новостройки;3+4Е;;;;;Лиговский проспект, 232;Лиговский проспект, 232;Лиговский проспект, 232;1870893;;;;;;;;
Принцип;новостройки;1+2Е;;;;26;Двинская улица, 4;Бумажная улица, 16к1;Нарвский проспект, 15;2310364;;;;;;;;
Принцип;новостройки;2+3Е;;;;25;Двинская улица, 4;Бумажная улица, 16к1;Нарвский проспект, 15;2310364;;;;;;;;
Принцип;новостройки;3+4Е;;;;16;Двинская улица, 4;Бумажная улица, 16к1;Нарвский проспект, 15;2310364;;;;;;;;
Принцип;новостройки;ст;;;;17;Двинская улица, 4;Бумажная улица, 16к1;Нарвский проспект, 15;2310364;;;;;;;;
Граф Орлов ;новостройки;;;;;65;Московский проспект, 183-185Ак3;Московский проспект, 212;улица Фрунзе, 5;33580;;;;;;;;
ID Park Pobedy ;новостройки;1;;;;38;Сызранская улица, 18;улица Решетникова, 12;Кузнецовская улица, 46;2390228;;;;;;;;
ID Park Pobedy ;новостройки;2;;;;22;Сызранская улица, 18;улица Решетникова, 12;Кузнецовская улица, 46;2390251;;;;;;;;
ID Park Pobedy ;новостройки;3;;;;11;Сызранская улица, 18;улица Решетникова, 12;Кузнецовская улица, 46;2390251;;;;;;;;
Звездный дуэт ;новостройки;;;;;15;проспект Космонавтов, 106;Пулковская улица, 10к1;улица Ярослава Гашека, 2;52728;;;;;;;;
Архитектор ;новостройки;;;;;18;Каштановая аллея, 3;Ленинградская улица, 5;Ленинградская улица, 5;59237;;;;;;;;
Дом на Львовской ;новостройки;;;;;11;улица Маршала Тухачевского, 14В;Пискарёвский проспект, 25;проспект Металлистов, 82;55206;;;;;;;;
Golden City;новостройки;1;;;;13;улица Челюскина, 4;Морская набережная, 17Б;улица Кораблестроителей, 23к1;100179;;;;;;;;
Golden City;новостройки;2;;;;19;улица Челюскина, 4;Морская набережная, 17Б;улица Кораблестроителей, 23к1;3021153;;;;;;;;
Golden City;новостройки;3;;;;17;улица Челюскина, 4;Морская набережная, 17Б;улица Кораблестроителей, 23к1;50363;;;;;;;;
Новый Лесснер ;новостройки;1;;;;16;Большой Сампсониевский проспект, 68Н;Выборгская набережная, 61;Выборгская набережная, 47;54361;;;;;;;;
Новый Лесснер ;новостройки;2;;;;23;Большой Сампсониевский проспект, 68Н;Выборгская набережная, 61;Выборгская набережная, 47;54360;;;;;;;;
Новый Лесснер ;новостройки;3;;;;4;Большой Сампсониевский проспект, 68Н;Выборгская набережная, 61;Выборгская набережная, 47;54363;;;;;;;;
Эталон на Неве ;новостройки;;;;;51;проспект Обуховской Обороны, 70к3;проспект Елизарова, 9;улица Ольги Берггольц, 1;64348;;;;;;;;
